,Match_ID,Team_ID,Goals,Knockout,OnTarget_%,Short_%,Succ_Ratio,Total_FKs,Short_FKs,Passes_Att,Pass_Comp%,Opp_Total_Fouls,Opp_Yellow_Cards,Cards/Fouls,OppTackles_Successful%,Opp_Aggressiveness,Opp_Total_Saves,Opp_Saves/Shots,Opp_Shots_Blocked,Opp_Conceded_Corners
0,2019330,2603104,2,0,0.3333333333333333,0.6410256410256411,0.14285714285714285,36.0,0.3333333333333333,2030.0,0.8694581280788177,31.0,5.0,0.16129032258064516,0.46153846153846156,0.0,25.0,0.6410256410256411,11.0,11.0
1,2019331,59856,1,0,0.2972972972972973,0.3783783783783784,0.4444444444444444,41.0,0.4634146341463415,2370.0,0.8738396624472574,56.0,5.0,0.08928571428571429,0.4666666666666667,0.0,17.0,0.5862068965517241,8.0,11.0
2,2019332,50157,1,0,0.2631578947368421,0.4473684210526316,0.27586206896551724,52.0,0.2692307692307692,2099.0,0.8489757027155789,45.0,7.0,0.15555555555555556,0.6,0.0,24.0,0.6,9.0,27.0
3,2019333,50147,1,0,0.2857142857142857,0.2857142857142857,0.2857142857142857,60.0,0.2,1735.0,0.8080691642651296,51.0,7.0,0.13725490196078433,0.3333333333333333,0.0,20.0,0.5405405405405406,7.0,20.0
4,2019334,52757,1,0,0.21052631578947367,0.631578947368421,0.0,32.0,0.09375,1638.0,0.7991452991452992,29.0,2.0,0.06896551724137931,0.46153846153846156,0.0,22.0,0.6111111111111112,7.0,15.0
5,2019335,52919,3,0,0.48,0.4,0.4117647058823529,32.0,0.25,2257.0,0.8790429774036331,33.0,4.0,0.15151515151515152,0.4838709677419355,0.0,13.0,0.7647058823529411,6.0,13.0
6,2019336,50124,2,0,0.5,0.5714285714285714,0.0,33.0,0.18181818181818182,1387.0,0.7144917087238645,29.0,5.0,0.1724137931034483,0.52,1.0,16.0,0.5714285714285714,5.0,8.0
7,2019337,50062,1,0,0.32653061224489793,0.46938775510204084,0.4,35.0,0.37142857142857144,2660.0,0.8676691729323308,23.0,4.0,0.17391304347826086,0.2857142857142857,0.0,23.0,0.5348837209302325,10.0,14.0
8,2019338,50023,3,0,0.2857142857142857,0.23809523809523808,0.09090909090909091,38.0,0.07894736842105263,1359.0,0.7748344370860927,30.0,5.0,0.16666666666666666,0.5454545454545454,1.0,19.0,0.6333333333333333,11.0,20.0
9,2019339,1652,0,0,0.36585365853658536,0.3170731707317073,0.25,47.0,0.19148936170212766,1794.0,0.8121516164994426,37.0,3.0,0.08108108108108109,0.4074074074074074,0.0,15.0,0.5172413793103449,7.0,9.0
10,2019340,52758,1,0,0.3333333333333333,0.43333333333333335,0.25,52.0,0.34615384615384615,1716.0,0.7937062937062938,37.0,8.0,0.21621621621621623,0.4090909090909091,0.0,13.0,0.5,5.0,16.0
11,2019341,50146,3,0,0.25,0.4583333333333333,0.35,42.0,0.16666666666666666,2047.0,0.8334147532975086,36.0,8.0,0.2222222222222222,0.5384615384615384,0.0,41.0,0.6612903225806451,22.0,24.0
12,2019342,52709,0,0,0.3333333333333333,0.42857142857142855,0.2222222222222222,32.0,0.09375,1294.0,0.80370942812983,34.0,4.0,0.14705882352941177,0.3076923076923077,0.0,15.0,0.625,10.0,10.0
13,2019343,50064,1,0,0.34782608695652173,0.2608695652173913,0.0,38.0,0.18421052631578946,1617.0,0.8157081014223871,30.0,5.0,0.16666666666666666,0.15384615384615385,0.0,12.0,0.75,5.0,8.0
14,2019344,52714,4,0,0.08695652173913043,0.34782608695652173,0.3333333333333333,41.0,0.17073170731707318,1221.0,0.7493857493857494,46.0,7.0,0.15217391304347827,0.29411764705882354,0.0,15.0,0.4166666666666667,7.0,13.0
15,2019345,50139,1,0,0.3191489361702128,0.40425531914893614,0.13043478260869565,39.0,0.23076923076923078,1618.0,0.7824474660074165,36.0,3.0,0.1111111111111111,0.5454545454545454,0.0,10.0,0.5,5.0,12.0
16,2019346,54266,1,0,0.36585365853658536,0.3170731707317073,0.25,47.0,0.19148936170212766,1794.0,0.8121516164994426,30.0,2.0,0.06666666666666667,0.37735849056603776,1.0,32.0,0.6274509803921569,19.0,20.0
17,2019347,50023,2,0,0.15,0.375,0.2916666666666667,32.0,0.15625,2166.0,0.8185595567867036,30.0,5.0,0.16666666666666666,0.5454545454545454,1.0,19.0,0.6333333333333333,11.0,20.0
18,2019348,50149,1,0,0.25,0.4583333333333333,0.35,42.0,0.16666666666666666,2047.0,0.8334147532975086,34.0,7.0,0.20588235294117646,0.4074074074074074,0.0,11.0,0.4074074074074074,7.0,12.0
19,2019349,52758,8,0,0.25,0.20833333333333334,0.2857142857142857,41.0,0.2926829268292683,1410.0,0.7794326241134751,37.0,8.0,0.21621621621621623,0.4090909090909091,0.0,13.0,0.5,5.0,16.0
