,Goals,Knockout,OnTarget_%,Short_%,Succ_Ratio,Total_FKs,Short_FKs,Passes_Att,Pass_Comp%,Opp_Total_Fouls,Opp_Yellow_Cards,Cards/Fouls,OppTackles_Successful%,Opp_Aggressiveness,Opp_Total_Saves,Opp_Saves/Shots,Opp_Shots_Blocked,Opp_Conceded_Corners,dummy_home,bad_weather,Win_Pr(),Btts_Pr()
0,2,0,0.3333333333333333,0.6410256410256411,0.14285714285714285,36.0,0.3333333333333333,2030.0,0.8694581280788177,31.0,5.0,0.16129032258064516,0.4615384615384616,0.0,25.0,0.6410256410256411,11.0,11.0,1.0,0,0.11764705882352941,0.3663003663003663
1,1,0,0.2972972972972973,0.3783783783783784,0.4444444444444444,41.0,0.4634146341463415,2370.0,0.8738396624472574,56.0,5.0,0.08928571428571429,0.4666666666666667,0.0,17.0,0.5862068965517241,8.0,11.0,1.0,0,0.13333333333333333,0.3436426116838488
2,1,0,0.2631578947368421,0.4473684210526316,0.27586206896551724,52.0,0.2692307692307692,2099.0,0.8489757027155789,45.0,7.0,0.15555555555555556,0.6,0.0,24.0,0.6,9.0,27.0,1.0,0,0.2222222222222222,0.38167938931297707
3,1,0,0.2857142857142857,0.2857142857142857,0.2857142857142857,60.0,0.2,1735.0,0.8080691642651296,51.0,7.0,0.13725490196078433,0.3333333333333333,0.0,20.0,0.5405405405405406,7.0,20.0,1.0,0,0.37735849056603776,0.3125
4,1,0,0.21052631578947367,0.631578947368421,0.0,32.0,0.09375,1638.0,0.7991452991452992,29.0,2.0,0.06896551724137931,0.4615384615384616,0.0,22.0,0.6111111111111112,7.0,15.0,1.0,0,0.40322580645161293,0.35335689045936397
5,3,0,0.48,0.4,0.4117647058823529,32.0,0.25,2257.0,0.8790429774036331,33.0,4.0,0.15151515151515152,0.4838709677419355,0.0,13.0,0.7647058823529411,6.0,13.0,1.0,0,0.27027027027027023,0.4098360655737705
6,2,0,0.5,0.5714285714285714,0.0,33.0,0.18181818181818185,1387.0,0.7144917087238645,29.0,5.0,0.1724137931034483,0.52,1.0,16.0,0.5714285714285714,5.0,8.0,1.0,0,0.4694835680751174,0.25
7,1,0,0.32653061224489793,0.4693877551020408,0.4,35.0,0.37142857142857133,2660.0,0.8676691729323308,23.0,4.0,0.17391304347826084,0.2857142857142857,0.0,23.0,0.5348837209302325,10.0,14.0,1.0,1,0.09090909090909091,0.3508771929824561
8,3,0,0.2857142857142857,0.2380952380952381,0.09090909090909093,38.0,0.07894736842105263,1359.0,0.7748344370860927,30.0,5.0,0.16666666666666666,0.5454545454545454,1.0,19.0,0.6333333333333333,11.0,20.0,1.0,0,0.38167938931297707,0.3389830508474576
9,0,0,0.36585365853658536,0.3170731707317073,0.25,47.0,0.1914893617021277,1794.0,0.8121516164994426,37.0,3.0,0.08108108108108109,0.4074074074074074,0.0,15.0,0.5172413793103449,7.0,9.0,1.0,1,0.3333333333333333,0.35335689045936397
10,1,0,0.3333333333333333,0.43333333333333335,0.25,52.0,0.3461538461538461,1716.0,0.7937062937062938,37.0,8.0,0.21621621621621626,0.4090909090909091,0.0,13.0,0.5,5.0,16.0,1.0,0,0.4166666666666667,0.36363636363636365
11,3,0,0.25,0.4583333333333333,0.35,42.0,0.16666666666666666,2047.0,0.8334147532975086,36.0,8.0,0.2222222222222222,0.5384615384615384,0.0,41.0,0.6612903225806451,22.0,24.0,1.0,0,0.041666666666666664,0.3448275862068966
12,0,0,0.3333333333333333,0.42857142857142855,0.2222222222222222,32.0,0.09375,1294.0,0.8037094281298299,34.0,4.0,0.14705882352941174,0.3076923076923077,0.0,15.0,0.625,10.0,10.0,1.0,0,0.2958579881656805,0.3389830508474576
13,1,0,0.3478260869565217,0.2608695652173913,0.0,38.0,0.18421052631578946,1617.0,0.8157081014223871,30.0,5.0,0.16666666666666666,0.15384615384615385,0.0,12.0,0.75,5.0,8.0,1.0,0,0.4366812227074236,0.3278688524590164
14,3,0,0.08695652173913042,0.3478260869565217,0.3333333333333333,41.0,0.17073170731707318,1221.0,0.7493857493857494,46.0,7.0,0.15217391304347827,0.29411764705882354,0.0,15.0,0.4166666666666667,7.0,13.0,1.0,0,0.4504504504504505,0.31746031746031744
15,1,0,0.3191489361702128,0.40425531914893614,0.13043478260869565,39.0,0.2307692307692308,1618.0,0.7824474660074165,36.0,3.0,0.1111111111111111,0.5454545454545454,0.0,10.0,0.5,5.0,12.0,1.0,0,0.4098360655737705,0.3508771929824561
16,1,0,0.36585365853658536,0.3170731707317073,0.25,47.0,0.1914893617021277,1794.0,0.8121516164994426,30.0,2.0,0.06666666666666668,0.37735849056603776,1.0,32.0,0.6274509803921569,19.0,20.0,1.0,0,0.1724137931034483,0.3508771929824561
17,2,0,0.15,0.375,0.2916666666666667,32.0,0.15625,2166.0,0.8185595567867036,30.0,5.0,0.16666666666666666,0.5454545454545454,1.0,19.0,0.6333333333333333,11.0,20.0,1.0,0,0.29411764705882354,0.3663003663003663
18,1,0,0.25,0.4583333333333333,0.35,42.0,0.16666666666666666,2047.0,0.8334147532975086,34.0,7.0,0.2058823529411765,0.4074074074074074,0.0,11.0,0.4074074074074074,7.0,12.0,1.0,0,0.14814814814814814,0.37453183520599254
19,3,0,0.25,0.20833333333333331,0.2857142857142857,41.0,0.2926829268292683,1410.0,0.7794326241134751,37.0,8.0,0.21621621621621626,0.4090909090909091,0.0,13.0,0.5,5.0,16.0,1.0,0,0.4694835680751174,0.3436426116838488
20,2,0,0.3478260869565217,0.2608695652173913,0.0,38.0,0.18421052631578946,1617.0,0.8157081014223871,42.0,6.0,0.14285714285714285,0.38461538461538464,0.0,17.0,0.53125,7.0,18.0,1.0,0,0.38167938931297707,0.3436426116838488
