,Match_ID,Team_ID,FK_Tot,FK_Ind,FK_Dir,FK_St,FK_Med,FK_Lg,FK_Cross,FK_Unsuccessful
0,2019282,52747,13,0,13,5,6,2,0,1
1,2019282,52280,14,4,10,6,5,3,1,2
2,2019283,59856,18,0,18,4,9,5,2,3
3,2019283,2603104,30,2,28,7,14,9,2,3
4,2019284,52723,22,4,18,6,13,3,1,1
5,2019284,50136,15,1,14,5,9,1,0,0
6,2019285,50147,19,3,16,2,9,8,2,2
7,2019285,50157,17,0,17,1,10,6,3,2
8,2019286,50080,6,1,5,0,4,2,0,0
9,2019286,50050,12,3,9,1,8,3,0,0
10,2019287,52919,15,0,15,4,6,4,0,0
11,2019287,52757,12,0,12,2,6,4,0,0
12,2019288,50037,11,0,11,5,5,1,0,0
13,2019288,64500,14,1,13,4,2,8,1,1
14,2019289,50062,11,2,9,2,7,2,2,3
15,2019289,50124,6,0,6,0,4,2,0,0
16,2019290,50109,13,0,13,3,9,1,0,0
17,2019290,54266,10,3,7,0,3,7,3,2
18,2019291,1652,6,1,5,0,5,1,1,2
19,2019291,50023,14,3,11,3,3,8,1,2
20,2019292,50051,14,1,13,2,8,4,0,0
21,2019292,50149,17,8,9,2,6,9,0,0
22,2019293,50146,14,3,11,1,5,9,0,9
23,2019293,52758,13,0,13,4,7,2,1,1
24,2019294,50043,12,2,10,2,5,5,0,0
25,2019294,53577,7,1,6,2,1,4,0,0
26,2019295,50064,12,0,12,1,8,3,1,2
27,2019295,52709,9,2,7,2,5,2,0,2
28,2019296,5312,14,1,13,3,6,5,0,0
29,2019296,50164,11,0,11,2,4,5,1,1
30,2019297,50139,24,0,24,1,16,7,1,1
31,2019297,52714,17,0,17,2,10,5,1,1
32,2019298,50023,18,1,17,3,12,3,2,2
33,2019298,50109,13,0,13,0,6,7,0,0
34,2019299,54266,10,1,9,1,2,7,1,1
35,2019299,1652,9,0,9,2,4,3,1,1
36,2019300,52758,14,2,12,1,10,3,2,2
37,2019300,50051,17,1,16,3,7,6,1,3
38,2019301,50149,21,4,17,10,4,7,0,0
39,2019301,50146,16,5,11,6,6,4,2,3
40,2019302,52709,16,2,14,3,13,0,2,2
41,2019302,50043,15,1,14,4,7,4,0,0
42,2019303,53577,16,0,16,1,8,7,3,4
43,2019303,50064,25,0,25,6,9,10,1,1
44,2019304,52714,24,1,23,6,12,6,1,1
45,2019304,5312,16,5,11,3,5,8,2,5
46,2019305,50164,14,0,14,3,5,6,1,4
47,2019305,50139,11,0,11,2,7,2,2,2
48,2019306,2603104,15,2,13,2,11,2,0,0
49,2019306,52747,9,0,9,2,6,1,2,2
50,2019307,52280,14,0,14,5,9,0,0,0
51,2019307,59856,10,3,7,2,3,5,0,0
52,2019308,50157,24,2,22,6,11,7,2,3
53,2019308,52723,22,2,20,2,10,10,6,6
54,2019309,50136,20,2,18,1,14,5,2,2
55,2019309,50147,12,4,8,2,3,7,0,0
56,2019310,52757,12,1,11,4,6,2,1,1
57,2019310,50080,9,1,8,5,3,1,0,0
58,2019311,50050,8,0,8,2,3,3,1,1
59,2019311,52919,10,1,9,3,6,1,0,0
60,2019312,50124,16,0,16,3,4,9,2,4
61,2019312,50037,14,0,14,3,8,3,1,2
62,2019313,64500,13,0,13,2,6,5,1,4
63,2019313,50062,15,0,15,3,7,5,1,3
64,2019314,54266,18,3,15,2,3,13,1,2
65,2019314,50023,17,1,16,4,9,4,1,1
66,2019315,50109,21,1,20,6,6,9,1,2
67,2019315,1652,17,0,17,3,11,3,1,1
68,2019316,50149,14,3,11,6,2,6,1,1
69,2019316,52758,13,2,11,3,3,7,0,0
70,2019317,50051,11,2,9,2,8,1,0,0
71,2019317,50146,11,2,9,5,3,3,1,1
72,2019318,53577,9,0,9,0,2,7,1,2
73,2019318,52709,12,2,10,2,5,4,0,0
74,2019319,50043,11,2,9,1,7,3,2,4
75,2019319,50064,17,3,14,4,11,2,1,4
76,2019320,50164,16,3,13,2,7,7,1,1
77,2019320,52714,17,1,16,6,9,2,2,2
78,2019321,5312,9,0,9,3,4,2,0,0
79,2019321,50139,17,0,17,4,11,2,1,1
80,2019322,52280,8,2,6,1,4,3,0,0
81,2019322,2603104,11,0,11,7,4,0,0,0
82,2019323,52747,19,1,18,12,5,2,1,1
83,2019323,59856,17,2,15,3,11,3,2,2
84,2019324,50136,17,2,15,8,8,1,0,0
85,2019324,50157,13,1,12,2,6,5,2,2
86,2019325,52723,16,1,15,4,10,2,2,2
87,2019325,50147,15,2,13,4,6,5,1,2
88,2019326,50050,12,2,10,0,10,2,0,0
89,2019326,52757,9,0,9,3,3,3,1,1
90,2019327,50080,17,1,16,3,9,5,1,1
91,2019327,52919,17,2,15,7,6,4,2,3
