,Match_ID,Team_ID,Saves,Saves_Short,Saves_Medium,Saves_Long
0,2019282,52747,7,4,0,1
1,2019282,52280,9,1,5,1
2,2019283,59856,2,1,1,0
3,2019283,2603104,8,3,2,2
4,2019284,52723,10,2,3,0
5,2019284,50136,4,0,1,3
6,2019285,50147,7,3,3,1
7,2019285,50157,9,4,3,2
8,2019286,50080,3,1,1,1
9,2019286,50050,5,3,1,1
10,2019287,52919,4,0,1,2
11,2019287,52757,11,4,2,2
12,2019288,50037,3,2,1,0
13,2019288,64500,7,3,3,1
14,2019289,50062,5,3,1,0
15,2019289,50124,6,2,2,2
16,2019290,50109,4,2,1,0
17,2019290,54266,10,4,4,1
18,2019291,1652,2,2,0,0
19,2019291,50023,12,1,7,4
20,2019292,50051,5,2,3,0
21,2019292,50149,6,3,2,0
22,2019293,50146,17,8,3,0
23,2019293,52758,5,1,0,0
24,2019294,50043,4,2,1,1
25,2019294,53577,5,1,3,1
26,2019295,50064,2,0,0,2
27,2019295,52709,5,2,2,0
28,2019296,5312,8,1,6,0
29,2019296,50164,9,5,3,0
30,2019297,50139,1,1,0,0
31,2019297,52714,6,3,0,3
32,2019298,50023,4,1,1,2
33,2019298,50109,2,0,0,2
34,2019299,54266,11,3,1,0
35,2019299,1652,4,2,1,0
36,2019300,52758,4,2,1,1
37,2019300,50051,14,2,5,5
38,2019301,50149,2,0,2,0
39,2019301,50146,7,2,3,2
40,2019302,52709,3,0,3,0
41,2019302,50043,12,1,5,6
42,2019303,53577,4,1,2,1
43,2019303,50064,5,1,1,2
44,2019304,52714,8,2,3,2
45,2019304,5312,9,4,2,2
46,2019305,50164,7,2,3,0
47,2019305,50139,0,0,0,0
48,2019306,2603104,6,3,2,1
49,2019306,52747,4,3,1,0
50,2019307,52280,4,0,3,1
51,2019307,59856,10,1,5,3
52,2019308,50157,5,2,1,1
53,2019308,52723,10,3,3,1
54,2019309,50136,3,1,1,0
55,2019309,50147,5,2,3,0
56,2019310,52757,6,3,1,2
57,2019310,50080,2,1,1,0
58,2019311,50050,11,3,5,3
59,2019311,52919,4,1,1,2
60,2019312,50124,7,1,3,3
61,2019312,50037,9,3,4,1
62,2019313,64500,4,2,1,1
63,2019313,50062,5,0,2,1
64,2019314,54266,11,3,6,0
65,2019314,50023,3,2,1,0
66,2019315,50109,3,0,0,1
67,2019315,1652,9,0,6,3
68,2019316,50149,3,0,2,1
69,2019316,52758,4,3,0,1
70,2019317,50051,4,2,2,0
71,2019317,50146,17,6,7,3
72,2019318,53577,8,2,4,2
73,2019318,52709,7,2,3,2
74,2019319,50043,12,2,6,3
75,2019319,50064,5,1,3,1
76,2019320,50164,6,1,4,1
77,2019320,52714,1,0,0,1
78,2019321,5312,10,1,4,1
79,2019321,50139,9,4,2,2
80,2019322,52280,4,1,2,0
81,2019322,2603104,11,4,4,3
82,2019323,52747,3,1,1,1
83,2019323,59856,5,1,1,1
84,2019324,50136,1,0,0,1
85,2019324,50157,10,2,4,4
86,2019325,52723,6,4,2,0
87,2019325,50147,8,3,3,1
88,2019326,50050,6,2,4,0
89,2019326,52757,5,1,2,2
90,2019327,50080,6,3,2,1
91,2019327,52919,5,2,2,0
92,2019328,64500,7,2,4,1
93,2019328,50124,3,1,2,0
94,2019329,50037,4,2,1,1
95,2019329,50062,13,5,3,4
96,2019330,2603104,3,2,0,0
97,2019330,52280,5,1,2,0
98,2019331,59856,9,3,1,3
99,2019331,52747,3,1,1,0
100,2019332,50157,7,4,2,0
101,2019332,50136,4,2,2,0
102,2019333,50147,4,2,1,1
103,2019333,52723,5,2,2,1
104,2019334,52757,5,1,0,0
105,2019334,50050,8,1,3,3
106,2019335,52919,5,0,3,1
107,2019335,50080,4,2,1,0
108,2019336,50124,3,1,2,0
109,2019336,64500,21,10,11,0
110,2019337,50062,8,2,2,3
111,2019337,50037,1,1,0,0
112,2019338,50023,4,2,2,0
113,2019338,54266,9,4,3,1
114,2019339,1652,8,4,3,0
115,2019339,50109,2,1,1,0
116,2019340,52758,4,3,1,0
117,2019340,50149,4,0,3,1
118,2019341,50146,15,4,7,0
119,2019341,50051,2,1,1,0
120,2019342,52709,8,2,3,0
121,2019342,53577,10,2,6,2
122,2019343,50064,9,5,1,1
123,2019343,50043,9,3,4,2
124,2019344,52714,2,2,0,0
125,2019344,50164,16,6,2,2
126,2019345,50139,5,0,3,2
127,2019345,5312,3,1,2,0
128,2019346,54266,4,3,1,0
129,2019346,50109,8,2,2,3
130,2019347,50023,3,1,1,1
131,2019347,1652,10,5,4,1
132,2019348,50149,4,2,1,1
133,2019348,50051,5,1,2,1
134,2019349,52758,4,2,1,0
135,2019349,50146,5,2,1,1
136,2019350,53577,3,1,1,1
137,2019350,50043,8,2,4,2
138,2019351,52709,10,4,4,2
139,2019351,50064,6,1,4,1
140,2019352,50164,10,3,5,2
141,2019352,5312,3,2,1,0
142,2019353,52714,5,1,2,1
143,2019353,50139,0,0,0,0
144,2019354,52280,7,3,4,0
145,2019354,52747,2,2,0,0
146,2019355,2603104,8,2,4,2
147,2019355,59856,3,0,2,1
148,2019356,50136,2,1,1,0
149,2019356,52723,10,5,2,1
150,2019357,50157,2,1,0,1
151,2019357,50147,5,2,3,0
152,2019358,50050,3,0,2,0
153,2019358,50080,6,5,1,0
154,2019359,52757,7,3,1,2
155,2019359,52919,8,3,3,1
156,2019360,64500,16,5,8,3
157,2019360,50037,4,3,1,0
158,2019361,50124,3,2,0,0
159,2019361,50062,5,2,2,0
160,2019362,52747,1,0,0,1
161,2019362,2603104,17,3,8,6
162,2019363,59856,6,3,0,1
163,2019363,52280,7,1,3,0
164,2019364,52723,4,1,2,1
165,2019364,50157,8,6,2,0
166,2019365,50147,9,2,2,0
167,2019365,50136,5,2,0,0
168,2019366,50080,1,0,1,0
169,2019366,52757,6,2,3,1
170,2019367,52919,9,4,4,1
171,2019367,50050,6,3,1,2
172,2019368,50037,3,1,2,0
173,2019368,50124,8,0,7,1
174,2019369,50062,3,2,0,1
175,2019369,64500,9,2,4,2
176,2019370,50109,3,1,2,0
177,2019370,50023,5,1,2,2
178,2019371,1652,3,2,1,0
179,2019371,54266,12,7,4,1
180,2019372,50051,8,4,2,1
181,2019372,52758,9,4,4,1
182,2019373,50146,10,4,4,2
183,2019373,50149,4,2,2,0
184,2019374,50043,5,2,1,1
185,2019374,52709,7,1,5,1
186,2019375,50064,4,0,2,2
187,2019375,53577,7,1,5,0
188,2019376,5312,0,0,0,0
189,2019376,52714,11,3,5,3
190,2019377,50139,3,2,1,0
191,2019377,50164,9,4,4,1
192,2019613,52919,5,1,3,0
193,2019613,50023,3,1,2,0
194,2019614,50051,3,1,2,0
195,2019614,50136,5,1,2,2
196,2019615,52747,2,0,2,0
197,2019615,50080,10,6,4,0
198,2019616,52714,5,2,3,0
199,2019616,53577,12,7,2,3
200,2019617,50147,7,2,1,3
201,2019617,52758,2,0,2,0
202,2019618,50037,5,3,2,0
