,Match_ID,Team_ID,Shots,Shots_BigChance,Shots_OnTarget,Shots_OffTarget,Shots_Blocked,Shots_St,Shots_Med
0,2019282,52747,13,2,4,4,5,9,2
1,2019282,52280,10,0,2,3,5,6,2
2,2019283,59856,12,2,4,4,4,6,4
3,2019283,2603104,3,0,1,1,1,1,0
4,2019284,52723,8,0,1,4,3,3,4
5,2019284,50136,12,1,0,2,9,6,5
6,2019285,50147,13,1,5,4,4,6,7
7,2019285,50157,11,1,4,4,3,4,6
8,2019286,50080,8,1,2,3,3,4,4
9,2019286,50050,4,0,2,1,1,1,2
10,2019287,52919,18,3,7,8,3,7,9
11,2019287,52757,3,0,1,0,2,1,2
12,2019288,50037,14,1,3,7,4,5,7
13,2019288,64500,5,0,2,2,1,2,3
14,2019289,50062,12,2,4,6,2,6,5
15,2019289,50124,15,1,2,10,3,7,5
16,2019290,50109,16,2,7,6,3,5,11
17,2019290,54266,6,0,2,3,1,1,5
18,2019291,1652,14,2,4,2,8,7,7
19,2019291,50023,5,0,0,3,2,3,2
20,2019292,50051,13,0,3,6,3,4,8
21,2019292,50149,8,0,3,3,2,2,6
22,2019293,50146,7,0,2,2,3,0,6
23,2019293,52758,24,1,9,7,8,13,10
24,2019294,50043,11,2,2,5,3,3,7
25,2019294,53577,7,0,4,3,0,4,3
26,2019295,50064,9,0,1,4,4,4,4
27,2019295,52709,5,0,1,3,1,3,2
28,2019296,5312,19,1,7,10,2,3,14
29,2019296,50164,14,2,2,5,5,7,4
30,2019297,50139,16,1,4,9,2,6,10
31,2019297,52714,3,0,1,2,0,0,2
32,2019298,50023,5,0,0,3,2,1,4
33,2019298,50109,9,0,2,5,2,1,5
34,2019299,54266,8,0,2,4,2,1,6
35,2019299,1652,21,0,1,9,10,7,14
36,2019300,52758,17,0,9,3,5,4,13
37,2019300,50051,10,1,2,5,2,5,3
38,2019301,50149,13,2,3,5,4,7,5
39,2019301,50146,6,0,0,4,2,2,3
40,2019302,52709,14,2,7,2,5,6,7
41,2019302,50043,6,0,2,3,1,1,5
42,2019303,53577,5,0,2,0,3,2,3
43,2019303,50064,12,0,4,7,0,3,8
44,2019304,52714,17,4,5,8,4,8,8
45,2019304,5312,15,1,4,5,4,7,6
46,2019305,50164,4,0,0,3,0,1,2
47,2019305,50139,12,0,2,5,5,4,6
48,2019306,2603104,7,1,3,3,1,2,5
49,2019306,52747,14,1,4,8,2,3,11
50,2019307,52280,16,1,5,6,5,9,7
51,2019307,59856,7,0,3,3,1,3,3
52,2019308,50157,13,0,4,3,6,5,8
53,2019308,52723,11,1,3,6,2,2,9
54,2019309,50136,10,1,3,5,2,5,4
55,2019309,50147,5,0,1,2,2,1,3
56,2019310,52757,7,0,0,5,2,2,5
57,2019310,50080,9,2,6,3,0,1,8
58,2019311,50050,6,0,1,2,3,5,1
59,2019311,52919,18,0,6,7,5,9,7
60,2019312,50124,15,2,4,4,5,7,8
61,2019312,50037,13,1,4,6,3,9,4
62,2019313,64500,6,0,2,1,3,5,1
63,2019313,50062,7,3,2,2,2,3,4
64,2019314,54266,7,1,2,4,1,3,3
65,2019314,50023,14,2,5,3,6,7,6
66,2019315,50109,16,3,6,7,3,7,9
67,2019315,1652,5,3,1,1,2,1,3
68,2019316,50149,9,2,4,5,0,4,5
69,2019316,52758,8,0,1,4,2,6,2
70,2019317,50051,25,0,7,8,10,13,12
71,2019317,50146,11,1,4,6,0,3,8
72,2019318,53577,9,0,1,3,5,3,6
73,2019318,52709,9,1,4,1,4,6,3
74,2019319,50043,6,0,4,1,1,2,4
75,2019319,50064,18,1,6,6,6,8,9
76,2019320,50164,5,0,0,4,1,0,4
77,2019320,52714,11,2,4,4,2,5,6
78,2019321,5312,13,2,4,4,5,9,3
79,2019321,50139,13,1,4,3,6,4,6
80,2019322,52280,13,0,6,2,5,10,3
81,2019322,2603104,10,0,3,5,1,3,7
82,2019323,52747,10,2,3,4,2,2,8
83,2019323,59856,10,1,1,4,2,3,4
84,2019324,50136,16,3,7,6,3,6,9
85,2019324,50157,5,0,0,4,1,1,3
86,2019325,52723,16,3,6,8,2,5,9
87,2019325,50147,10,0,3,4,3,3,7
88,2019326,50050,9,0,1,4,4,6,3
89,2019326,52757,11,0,4,5,2,2,9
90,2019327,50080,8,2,4,3,1,5,3
91,2019327,52919,10,3,5,4,1,0,8
92,2019328,64500,3,0,3,0,0,1,2
93,2019328,50124,14,4,5,7,2,6,7
