,MatchID,HomeTeamID,AwayTeamID,Type,MatchDateUTC,MatchNumber,StadiumID,LocalTimeZoneOffset,ReferenceTimeZoneOffset,SeasonID,CompetitionID,RoundID,GroupID,MatchSetID,SessionID
2019282,2019282,52747,52280,Group,2016-09-13T18:45:00Z,2,57779,02:00:00,02:00:00,0,20159,2000783,2004816,33112,33629
2019283,2019283,59856,2603104,Group,2016-09-13T18:45:00Z,3,63171,02:00:00,02:00:00,0,20159,2000783,2004816,33112,33629
2019284,2019284,52723,50136,Group,2016-09-13T18:45:00Z,7,250001449,03:00:00,02:00:00,0,20159,2000783,2004817,33112,33629
2019285,2019285,50147,50157,Group,2016-09-13T18:45:00Z,1,85265,01:00:00,02:00:00,0,20159,2000783,2004817,33112,33629
2019286,2019286,50080,50050,Group,2016-09-13T18:45:00Z,4,57776,02:00:00,02:00:00,0,20159,2000783,2004818,33112,33629
2019287,2019287,52919,52757,Group,2016-09-14T18:45:00Z,8,83479,01:00:00,02:00:00,0,20159,2000783,2004818,33112,33630
2019288,2019288,50037,64500,Group,2016-09-13T18:45:00Z,5,85441,02:00:00,02:00:00,0,20159,2000783,2004819,33112,33629
2019289,2019289,50062,50124,Group,2016-09-13T18:45:00Z,6,52853,02:00:00,02:00:00,0,20159,2000783,2004819,33112,33629
2019290,2019290,50109,54266,Group,2016-09-14T18:45:00Z,11,63465,02:00:00,02:00:00,0,20159,2000783,2004820,33112,33630
2019291,2019291,1652,50023,Group,2016-09-14T18:45:00Z,9,1100043,01:00:00,02:00:00,0,20159,2000783,2004820,33112,33630
2019292,2019292,50051,50149,Group,2016-09-14T18:45:00Z,12,62401,02:00:00,02:00:00,0,20159,2000783,2004821,33112,33630
2019293,2019293,50146,52758,Group,2016-09-14T18:45:00Z,13,62710,02:00:00,02:00:00,0,20159,2000783,2004821,33112,33630
2019294,2019294,50043,53577,Group,2016-09-14T18:45:00Z,14,63387,02:00:00,02:00:00,0,20159,2000783,2004822,33112,33630
2019295,2019295,50064,52709,Group,2016-09-14T18:45:00Z,10,85429,01:00:00,02:00:00,0,20159,2000783,2004822,33112,33630
2019296,2019296,5312,50164,Group,2016-09-14T18:45:00Z,15,250002940,02:00:00,02:00:00,0,20159,2000783,2004823,33112,33630
2019297,2019297,50139,52714,Group,2016-09-14T18:45:00Z,16,250001576,02:00:00,02:00:00,0,20159,2000783,2004823,33112,33630
2019298,2019298,50023,50109,Group,2016-09-27T18:45:00Z,19,62103,02:00:00,02:00:00,0,20159,2000783,2004820,33113,33631
2019299,2019299,54266,1652,Group,2016-09-27T18:45:00Z,24,250002906,03:00:00,02:00:00,0,20159,2000783,2004820,33113,33631
2019300,2019300,52758,50051,Group,2016-09-27T18:45:00Z,20,57798,02:00:00,02:00:00,0,20159,2000783,2004821,33113,33631
2019301,2019301,50149,50146,Group,2016-09-27T18:45:00Z,17,83168,01:00:00,02:00:00,0,20159,2000783,2004821,33113,33631
2019302,2019302,52709,50043,Group,2016-09-27T18:45:00Z,21,63462,02:00:00,02:00:00,0,20159,2000783,2004822,33113,33631
2019303,2019303,53577,50064,Group,2016-09-27T18:45:00Z,18,63328,01:00:00,02:00:00,0,20159,2000783,2004822,33113,33631
2019304,2019304,52714,5312,Group,2016-09-27T18:45:00Z,22,62415,02:00:00,02:00:00,0,20159,2000783,2004823,33113,33631
