,MatchID,FieldGeometryCm,FieldGeometryNormalized,Attendance,HumidityPercentage,TemperatureCelsius,WindSpeedKmh,WeatherCondition,FieldCondition,TransmissionStartUTC,LineupReportDeliveryTimeUTC,FullReportDeliveryTimeUTC,TrackingCameraPosition,BenchesPosition,TrackingProviderTimeZoneOffset,VideoOffset,ConsolidationStatus,UnreliableData
2019282,2019282,"{'FieldSize': {'X': 10500.0, 'Y': 6800.0, 'Z': 1000.0}}","{'FieldSize': {'X': 2.0, 'Y': 2.0, 'Z': 1.0}}",46440,36,28,9,PartlyCloudy,Dry,2016-09-13T17:44:00,2016-09-13T17:31:10.237Z,2016-09-13T20:41:58.657Z,MainCameraSameSide,MainCameraSameSide,00:00:00,-83.08:26:16,"['Lineups', 'PrimaryMarks', 'SecondaryMarks', 'Tracking', 'TacticsTV', 'StatisticsMarks', 'StatisticsTracking', 'TacticsPrintout']",[]
2019283,2019283,"{'FieldSize': {'X': 10500.0, 'Y': 6800.0, 'Z': 1000.0}}","{'FieldSize': {'X': 2.0, 'Y': 2.0, 'Z': 1.0}}",30852,64,21,4,ClearNight,Soft,2016-09-13T17:44:00,2016-09-13T17:24:33.657Z,2016-09-13T20:44:01.053Z,MainCameraSameSide,MainCameraSameSide,00:00:00,-83.08:30:00,"['Lineups', 'PrimaryMarks', 'SecondaryMarks', 'Tracking', 'TacticsTV', 'StatisticsMarks', 'StatisticsTracking', 'TacticsPrintout']",[]
2019284,2019284,"{'FieldSize': {'X': 10500.0, 'Y': 6800.0, 'Z': 1000.0}}","{'FieldSize': {'X': 2.0, 'Y': 2.0, 'Z': 1.0}}",35137,45,21,17,ClearNight,Excellent,2016-09-13T17:44:00,2016-09-13T17:36:32.497Z,2016-09-13T20:38:04.157Z,MainCameraSameSide,MainCameraSameSide,00:00:00,-83.08:28:00,"['Lineups', 'PrimaryMarks', 'SecondaryMarks', 'Tracking', 'TacticsTV', 'StatisticsMarks', 'StatisticsTracking', 'TacticsPrintout']",[]
2019285,2019285,"{'FieldSize': {'X': 10500.0, 'Y': 6800.0, 'Z': 1000.0}}","{'FieldSize': {'X': 2.0, 'Y': 2.0, 'Z': 1.0}}",42126,53,21,21,ClearNight,Soft,2016-09-13T17:44:00,2016-09-13T17:49:20.967Z,2016-09-13T20:43:35.497Z,MainCameraSameSide,MainCameraSameSide,00:00:00,-83.08:28:00,"['Lineups', 'PrimaryMarks', 'SecondaryMarks', 'Tracking', 'TacticsTV', 'StatisticsMarks', 'StatisticsTracking', 'TacticsPrintout']",[]
2019286,2019286,"{'FieldSize': {'X': 10500.0, 'Y': 6800.0, 'Z': 1000.0}}","{'FieldSize': {'X': 2.0, 'Y': 2.0, 'Z': 1.0}}",73290,67,27,11,ClearNight,Excellent,2016-09-13T17:44:00,2016-09-13T17:22:01.337Z,2016-09-13T20:37:25.91Z,MainCameraSameSide,MainCameraSameSide,00:00:00,-83.08:36:00,"['Lineups', 'PrimaryMarks', 'SecondaryMarks', 'Tracking', 'TacticsTV', 'StatisticsMarks', 'StatisticsTracking', 'TacticsPrintout', 'Actions']",[]
2019287,2019287,"{'FieldSize': {'X': 10500.0, 'Y': 6800.0, 'Z': 1000.0}}","{'FieldSize': {'X': 2.0, 'Y': 2.0, 'Z': 1.0}}",30270,75,23,2,PartlyCloudyNight,Excellent,2016-09-14T17:44:00,2016-09-14T17:31:22.323Z,2016-09-14T20:38:22.11Z,MainCameraSameSide,MainCameraSameSide,00:00:00,-83.08:31:42,"['Lineups', 'PrimaryMarks', 'SecondaryMarks', 'Tracking', 'TacticsTV', 'StatisticsMarks', 'StatisticsTracking', 'TacticsPrintout']",[]
2019288,2019288,"{'FieldSize': {'X': 10500.0, 'Y': 6800.0, 'Z': 1000.0}}","{'FieldSize': {'X': 2.0, 'Y': 2.0, 'Z': 1.0}}",70000,53,24,11,ClearNight,Dry,2016-09-13T17:44:00,2016-09-13T17:49:49Z,2016-09-13T20:39:18.447Z,MainCameraSameSide,MainCameraSameSide,00:00:00,-83.08:38:00,"['Lineups', 'PrimaryMarks', 'SecondaryMarks', 'Tracking', 'TacticsTV', 'StatisticsMarks', 'StatisticsTracking', 'TacticsPrintout']",[]
2019289,2019289,"{'FieldSize': {'X': 10500.0, 'Y': 6800.0, 'Z': 1000.0}}","{'FieldSize': {'X': 2.0, 'Y': 2.0, 'Z': 1.0}}",33989,52,26,13,ClearNight,Soft,2016-09-13T17:44:00,2016-09-13T17:41:37.257Z,2016-09-13T20:39:02.11Z,MainCameraSameSide,MainCameraSameSide,00:00:00,-83.08:41:20,"['Lineups', 'PrimaryMarks', 'SecondaryMarks', 'Tracking', 'TacticsTV', 'StatisticsMarks', 'StatisticsTracking', 'TacticsPrintout']",[]
2019290,2019290,"{'FieldSize': {'X': 10500.0, 'Y': 6800.0, 'Z': 1000.0}}","{'FieldSize': {'X': 2.0, 'Y': 2.0, 'Z': 1.0}}",23459,47,26,6,ClearNight,Soft,2016-09-14T17:44:00,2016-09-14T17:35:49.893Z,2016-09-14T20:35:06.34Z,MainCameraSameSide,MainCameraSameSide,00:00:00,-83.08:31:20,"['Lineups', 'PrimaryMarks', 'SecondaryMarks', 'Tracking', 'TacticsTV', 'StatisticsMarks', 'StatisticsTracking', 'TacticsPrintout']",[]
2019291,2019291,"{'FieldSize': {'X': 10500.0, 'Y': 6800.0, 'Z': 1000.0}}","{'FieldSize': {'X': 2.0, 'Y': 2.0, 'Z': 1.0}}",85011,68,20,4,Sunny,Excellent,2016-09-14T17:44:00,2016-09-14T17:42:52Z,2016-09-14T20:38:55.643Z,MainCameraSameSide,MainCameraSameSide,00:00:00,-83.08:48:00,"['Lineups', 'PrimaryMarks', 'SecondaryMarks', 'Tracking', 'TacticsTV', 'StatisticsMarks', 'StatisticsTracking', 'TacticsPrintout']",[]
