,AwayScore,BreakTimeDuration,ConsolidationStatus,EffectiveDuration,EffectiveInjuryTime,EndTimeUTC,HomeScore,IndexInMatch,IndexInType,InjuryTime,LeftTeamID,MatchID,MatchPhaseGuid,RegularDuration,StartTimeUTC,Status,Type
0,0,,"['Lineups', 'PrimaryMarks', 'SecondaryMarks', 'AllMatch']",00:45:03.0270000,00:00:03.0270000,2016-09-13T19:32:14.411Z,1,1,1,00:00:00,52280,2019282,301e7326-d5bb-4413-8df4-b8d0974b81ec,00:45:00,2016-09-13T18:47:11.384Z,['Completed'],Regular
1,1,00:16:37.1160000,"['Lineups', 'PrimaryMarks', 'SecondaryMarks', 'AllMatch']",00:49:38.1060000,00:04:38.1060000,2016-09-13T20:38:29.633Z,1,2,2,00:04:00,52747,2019282,251be821-6e26-4eb1-a81f-7e7482a3ddb6,00:45:00,2016-09-13T19:48:51.527Z,"['Current', 'Completed']",Regular
2,1,,"['Lineups', 'PrimaryMarks', 'SecondaryMarks', 'AllMatch']",00:48:00.6420000,00:03:00.6420000,2016-09-13T19:33:26.622Z,0,1,1,00:03:00,2603104,2019283,9de637a0-81a6-457c-8dd7-d058b3a30c77,00:45:00,2016-09-13T18:45:25.98Z,['Completed'],Regular
3,1,00:15:04.3250000,"['Lineups', 'PrimaryMarks', 'SecondaryMarks', 'AllMatch']",00:49:06.7000000,00:04:06.7000000,2016-09-13T20:37:37.647Z,1,2,2,00:04:00,59856,2019283,d25ea9ef-9b9f-469a-80d0-17ac80631cdc,00:45:00,2016-09-13T19:48:30.947Z,"['Current', 'Completed']",Regular
4,2,,"['Lineups', 'PrimaryMarks', 'SecondaryMarks', 'AllMatch']",00:47:16.0030000,00:02:16.0030000,2016-09-13T19:33:00.638Z,1,1,1,00:01:00,52723,2019284,b6323e5c-b55c-410b-b39b-9490f50941be,00:45:00,2016-09-13T18:45:44.635Z,['Completed'],Regular
5,2,00:15:05.5820000,"['Lineups', 'PrimaryMarks', 'SecondaryMarks', 'AllMatch']",00:48:08.2000000,00:03:08.2000000,2016-09-13T20:36:14.42Z,1,2,2,00:03:00,50136,2019284,70e4d841-89fe-421f-9c80-8db2440f0493,00:45:00,2016-09-13T19:48:06.22Z,"['Current', 'Completed']",Regular
6,0,,"['Lineups', 'PrimaryMarks', 'SecondaryMarks', 'AllMatch']",00:46:13.8450000,00:01:13.8450000,2016-09-13T19:31:49.09Z,1,1,1,00:01:00,50157,2019285,582d56fc-fbf6-4dd3-8501-281c1501ee24,00:45:00,2016-09-13T18:45:35.245Z,['Completed'],Regular
7,1,00:15:50.2460000,"['Lineups', 'PrimaryMarks', 'SecondaryMarks', 'AllMatch']",00:49:31.2550000,00:04:31.2550000,2016-09-13T20:37:10.591Z,1,2,2,00:04:00,50147,2019285,6334e572-eb44-497a-b162-d54b24e4e56c,00:45:00,2016-09-13T19:47:39.336Z,"['Current', 'Completed']",Regular
8,0,,"['Lineups', 'PrimaryMarks', 'SecondaryMarks', 'AllMatch']",00:45:01,00:00:01,2016-09-13T19:31:49.211Z,2,1,1,,50080,2019286,12c0dc18-4485-4e71-bb13-4711f8f4fbcf,00:45:00,2016-09-13T18:46:48.211Z,['Completed'],Regular
9,0,00:16:51.3680000,"['Lineups', 'PrimaryMarks', 'SecondaryMarks', 'AllMatch']",00:47:01.0700000,00:02:01.0700000,2016-09-13T20:35:41.649Z,7,2,2,00:02:00,50050,2019286,753c24ff-bfd7-4fe0-8e4a-1ed41fa4e362,00:45:00,2016-09-13T19:48:40.579Z,"['Current', 'Completed']",Regular
10,0,,"['Lineups', 'PrimaryMarks', 'SecondaryMarks', 'AllMatch']",00:46:09.7820000,00:01:09.7820000,2016-09-14T19:31:24.84Z,2,1,1,00:01:00,52919,2019287,538bd0f0-8b02-493a-a5b2-57625c51d26b,00:45:00,2016-09-14T18:45:15.058Z,['Completed'],Regular
11,0,00:15:38.7150000,"['Lineups', 'PrimaryMarks', 'SecondaryMarks', 'AllMatch']",00:47:37.8780000,00:02:37.8780000,2016-09-14T20:34:41.433Z,4,2,2,00:02:00,52757,2019287,b99171d1-6c30-4f7e-8273-8c7cba0e7467,00:45:00,2016-09-14T19:47:03.555Z,"['Current', 'Completed']",Regular
12,0,,"['Lineups', 'PrimaryMarks', 'SecondaryMarks', 'AllMatch']",00:47:46.2420000,00:02:46.2420000,2016-09-13T19:33:18.552Z,2,1,1,00:02:00,64500,2019288,064b8924-987f-43a6-9a48-6d0c67b79e5c,00:45:00,2016-09-13T18:45:32.31Z,['Completed'],Regular
13,0,00:16:20.6520000,"['Lineups', 'PrimaryMarks', 'SecondaryMarks', 'AllMatch']",00:48:12.3920000,00:03:12.3920000,2016-09-13T20:37:51.596Z,5,2,2,00:03:00,50037,2019288,272b2d04-55c2-48a5-be20-d3ba23e4fa63,00:45:00,2016-09-13T19:49:39.204Z,"['Current', 'Completed']",Regular
14,1,,"['Lineups', 'PrimaryMarks', 'SecondaryMarks', 'AllMatch']",00:47:00.2690000,00:02:00.2690000,2016-09-13T19:32:05.469Z,0,1,1,00:01:00,50124,2019289,eb4d4c18-d398-4155-bb8f-8a578a434314,00:45:00,2016-09-13T18:45:05.2Z,['Completed'],Regular
15,1,00:15:02.5640000,"['Lineups', 'PrimaryMarks', 'SecondaryMarks', 'AllMatch']",00:48:04.9970000,00:03:04.9970000,2016-09-13T20:35:13.03Z,0,2,2,00:03:00,50062,2019289,21a86614-1f28-4ec9-a282-685835f707d7,00:45:00,2016-09-13T19:47:08.033Z,"['Current', 'Completed']",Regular
16,2,,"['Lineups', 'PrimaryMarks', 'SecondaryMarks', 'AllMatch']",00:45:01.8640000,00:00:01.8640000,2016-09-14T19:30:04.331Z,2,1,1,,50109,2019290,b95d212e-a167-4056-bf43-7c7814b2683b,00:45:00,2016-09-14T18:45:02.467Z,['Completed'],Regular
17,2,00:15:24.4690000,"['Lineups', 'PrimaryMarks', 'SecondaryMarks', 'AllMatch']",00:47:56.4600000,00:02:56.4600000,2016-09-14T20:33:25.26Z,2,2,2,00:02:00,54266,2019290,86637667-f8de-4e9e-9d16-5a9688219dfa,00:45:00,2016-09-14T19:45:28.8Z,"['Current', 'Completed']",Regular
18,2,,"['Lineups', 'PrimaryMarks', 'SecondaryMarks', 'AllMatch']",00:48:09.2690000,00:03:09.2690000,2016-09-14T19:33:29.54Z,1,1,1,00:03:00,1652,2019291,8e122f26-9c72-46a9-b64f-bc96fd7e1b70,00:45:00,2016-09-14T18:45:20.271Z,['Completed'],Regular
19,2,00:15:34.1640000,"['Lineups', 'PrimaryMarks', 'SecondaryMarks', 'AllMatch']",00:48:11.4900000,00:03:11.4900000,2016-09-14T20:37:15.194Z,1,2,2,00:03:00,50023,2019291,1ad47a60-7950-437d-b41a-e1fc42931ac3,00:45:00,2016-09-14T19:49:03.704Z,"['Current', 'Completed']",Regular
20,0,,"['Lineups', 'PrimaryMarks', 'SecondaryMarks', 'AllMatch']",00:46:02.4270000,00:01:02.4270000,2016-09-14T19:31:08.18Z,0,1,1,00:01:00,50051,2019292,d7669478-606e-4015-abe0-696bb771d04d,00:45:00,2016-09-14T18:45:05.753Z,['Completed'],Regular
21,1,00:15:18.8910000,"['Lineups', 'PrimaryMarks', 'SecondaryMarks', 'AllMatch']",00:50:06.1620000,00:05:06.1620000,2016-09-14T20:36:33.233Z,2,2,2,00:04:00,50149,2019292,234558da-f082-48ec-bdab-e47eafdbcafa,00:45:00,2016-09-14T19:46:27.071Z,"['Current', 'Completed']",Regular
22,3,,"['Lineups', 'PrimaryMarks', 'SecondaryMarks', 'AllMatch']",00:45:29.5830000,00:00:29.5830000,2016-09-14T19:30:53.244Z,0,1,1,,52758,2019293,f4bcab27-ab20-4896-81d3-d25d2644e2d6,00:45:00,2016-09-14T18:45:23.661Z,['Completed'],Regular
23,6,00:16:55.7650000,"['Lineups', 'PrimaryMarks', 'SecondaryMarks', 'AllMatch']",00:45:07.5030000,00:00:07.5030000,2016-09-14T20:32:56.512Z,0,2,2,,50146,2019293,fd416b0d-a70d-4f27-8fc3-d7cebd5ac080,00:45:00,2016-09-14T19:47:49.009Z,"['Current', 'Completed']",Regular
24,2,,"['Lineups', 'PrimaryMarks', 'SecondaryMarks', 'AllMatch']",00:45:03.5800000,00:00:03.5800000,2016-09-14T19:30:08.273Z,0,1,1,,50043,2019294,dc97e95b-fed0-437f-8468-22264cce8aa9,00:45:00,2016-09-14T18:45:04.693Z,['Completed'],Regular
25,3,00:15:03.8560000,"['Lineups', 'PrimaryMarks', 'SecondaryMarks', 'AllMatch']",00:49:03.9540000,00:04:03.9540000,2016-09-14T20:34:16.083Z,0,2,2,00:04:00,53577,2019294,1644a087-8c63-49eb-8735-62699e45b529,00:45:00,2016-09-14T19:45:12.129Z,"['Current', 'Completed']",Regular
26,0,,"['Lineups', 'PrimaryMarks', 'SecondaryMarks', 'AllMatch']",00:45:04.2590000,00:00:04.2590000,2016-09-14T19:30:25.025Z,1,1,1,,50064,2019295,e3c6dd3d-0daa-4230-a11c-13f919163bff,00:45:00,2016-09-14T18:45:20.766Z,['Completed'],Regular
27,1,00:15:38.8000000,"['Lineups', 'PrimaryMarks', 'SecondaryMarks', 'AllMatch']",00:48:54.0280000,00:03:54.0280000,2016-09-14T20:34:57.853Z,1,2,2,00:03:00,52709,2019295,dd78edee-1da3-4e7f-b666-e38a26b57dd8,00:45:00,2016-09-14T19:46:03.825Z,"['Current', 'Completed']",Regular
28,0,,"['Lineups', 'PrimaryMarks', 'SecondaryMarks', 'AllMatch']",00:47:59.7380000,00:02:59.7380000,2016-09-14T19:33:27.301Z,1,1,1,00:03:00,5312,2019296,47e58769-743f-4342-860a-13418209d77a,00:45:00,2016-09-14T18:45:27.563Z,['Completed'],Regular
